label,gaeilge,start_time,end_time
imbolc,feeile briide,2027-02-02T00:00:00Z,2027-02-03T00:00:00Z
paddys,laa fheeile paadraig,2027-03-17T00:00:00Z,2027-03-18T00:00:00Z
spring_equinox,coonocht an earraigh,2027-03-20T14:46:00Z,2027-03-20T14:46:59Z
bealtaine,bealtaine,2026-05-01T00:00:00Z,2026-05-02T00:00:00Z
halloween,samhain,2026-10-31T00:00:00Z,2026-11-01T00:00:00Z
christmas,nollaig,2026-12-25T00:00:00Z,2026-12-26T00:00:00Z
newyears,athbhliain,2027-01-01T00:00:00Z,2027-01-02T00:00:00Z
jos_birthday,breithlaa ioo,2026-06-19T00:00:00Z,2026-06-20T00:00:00Z
my_birthday,mo breithlaa,2027-01-05T00:00:00Z,2027-01-06T00:00:00Z
lunasa,luunasa,2026-08-01T00:00:00Z,2026-08-02T00:00:00Z
rising,eeirii amach na caasca,2027-04-24T00:00:00Z,2026-05-4-25T00:00:00Z
